file.uid;lat.garmin.dms;long.garmin.dms;measure_status;chapitre;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.neg.length1_mm;cal.value1;cal.neg.length2_mm;cal.value2;cal.neg.length3_mm;cal.value3;long.fil.cm;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;distance.m;out.long.tuyau.sol.cm;pt.haut.cm;pt.bas1.cm;pt.bas2.cm;pt.bas3.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;x.archive.cal.station_id;x.archive.cal.length.cm;x.archive.2.neg.cal.OUI.length_mm;x.archive.cal.value;x.archive.cal.order;x.archive.measure_type
42563_20251203;46,70581;-71,0638;verified;ch2;STH;STH.C.p9m.2025;STH.C;41362_100 et shannon_003;42563;ODYSSEY;-1400;1858;-200;3696;;;140;;2025-05-03 17:00;2025-11-27 13:00;9;16,5;16,5;0;0;0;52;-52;2025-07-30;14:26:01;"AG;AP";79,5;-79,5;2025-09-18;15:40:00;AG;39,5;-39,5;2025-11-27;13:48:00;AG;NA;NA;NA;NA;NA;NA;140;-1400;1858;1;calibration
42562_20251128;46,70578;-71,06386;pending_approbation;ch2;STH;STH.C.p7,75m.2025;STH.C;shannon_001;42562;ODYSSEY;-1400;1844;-200;3682;;;140;out le 27 nov : ~24,5 ??? // nappe tombée en dessous longtemps !//photo 1559 depius quand ? diff =  8,5cm;2025-05-03 17:00;2025-11-27 13:00;7,75;13,2;13,2;0;0;0;55,3;-55,3;2025-07-30;14:13:01;"AG;AP";85;-85;2025-09-18;15:40:00;AG;45;-45;2025-11-27;12:42:00;AG;NA;NA;NA;NA;NA;NA;140;-1400;1844;1;calibration
42564_20251203;46,70608;-71,06423;verified;ch2;STH;STH.D2.p9m.2025;STH.D2;;42564;ODYSSEY;-1400;1839;-200;3711;;;140;;2025-05-03 17:00;2025-11-27 10:00;9;20;20;0;0;0;58;-58;2025-07-30;13:52:01;"AG;AP";87,5;-87,5;2025-09-18;15:15:00;AG;87,5;-87,5;2025-10-16;11:34:00;AG;48,5;-48,5;2025-11-27;10:28:00;AG;NA;140;-1400;1839;1;calibration
42566_20251128;46,7058;-71,06382;pending_approbation;ch2;STH;STH.C.p6,75m.2025;STH.C;shannon_006;42566;ODYSSEY;-1400;1829;-200;3711;;;140;;2025-05-03 17:00;2025-11-27 14:00;6,75;9,3;9,3;0;0;0;65,5;-65,5;2025-07-30;14:08:01;"AG;AP";NA;NA;2025-09-18;15:40:00;AG;52,5;-52,5;2025-11-27;13:45:01;AG;NA;NA;NA;NA;NA;NA;140;-1400;1829;1;calibration
42565_20251128;46,70583;-71,06375;pending_approbation;ch2;STH;STH.C.p6m.2025;STH.C;;42565;ODYSSEY;-1400;1846;-200;3704;;;140;nappe tombée en dessous longtemps !;2025-05-03 17:00;2025-11-27 13:00;6;17;17;0;0;0;76,8;-76,8;2025-07-30;14:05:01;"AG;AP";104,5;-104,5;2025-09-18;15:40:00;AG;70,5;-70,5;2025-11-27;13:38:01;AG;NA;NA;NA;NA;NA;NA;140;-1400;1846;1;calibration
41387_20251128;46,70589;-71,06369;pending_approbation;ch2;STH;STH.C.m1m.2025;STH.C;;41387;ODYSSEY;-800;1645;-200;2755;;;80;N'a pas enregistré de données…;2025-05-03 17:00;2025-11-27 10:00;-1;23,2;23,2;0;0;0;24,3;-24,3;2025-07-30;14:57:01;"AG;AP";35,5;-35,5;2025-09-18;15:40:00;AG;33;-33;2025-10-16;12:09:00;AG;24;-24;2025-11-27;11:20:00;AG;NA;80;-800;1645;1;calibration
41359_20241125;NA;NA;approved;ch2;STH;STH.C.m1m.2024;STH.C;NA;41359;ODYSSEY;-800;1748;-200;3000;-271,4057508;2851;80;;2024-06-13 15:00;2024-11-14 11:00;-1;30,53;-109,6;-138,6;-142,4;-139,4;25,5;-25,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;-800;1748;1;calibration
41370_20251203;46,70612;-71,06413;verified;ch2;STH;STH.D2.p2,5m.2025;STH.D2;;41370;ODYSSEY;-800;1630;-200;2730;;;80;2,5 m relatif à la crête dans le cas de STH // s'est arrêtée nowhere le 16 octobre…;2025-05-03 17:00;2025-11-27 10:00;2,5;28,6;28,6;0;0;0;34,8;-34,8;2025-07-30;13:44:01;"AG;AP";42;-42;2025-10-16;11:30:00;AG;27,5;-27,5;2025-11-27;10:17:00;AG;NA;NA;NA;NA;NA;NA;80;-800;1630;1;calibration
41359_20251203;46,70609;-71,06419;verified;ch2;STH;STH.D2.p8m.2025;STH.D2;;41359;ODYSSEY;-800;1726;-200;2963;;;80;;2025-05-03 17:00;2025-11-27 10:00;8;16,8;16,8;0;0;0;38;-38;2025-07-30;13:49:01;"AG;AP";67,5;-67,5;2025-09-18;15:15:00;AG;67,75;-67,75;2025-10-16;11:33:00;AG;23,75;-23,75;2025-11-27;10:25:00;AG;NA;80;-800;1726;1;calibration
41382_20251203;46,70609;-71,0642;rejected (problems);ch2;STH;STH.D2.p6m.2025;STH.D2;Shannon_009;41382;ODYSSEY;-800;1536;-200;2465;;;80;;2025-05-03 17:00;2025-11-27 10:00;6;18,3;18,3;0;0;0;48,5;-48,5;2025-07-30;13:48:01;"AG;AP";74;-74;2025-09-18;15:15:00;AG;71;-71;2025-10-16;11:32:00;AG;33,25;-33,25;2025-11-27;10:24:00;AG;NA;80;-800;1536;1;calibration
