file.uid;lat.garmin.dms;long.garmin.dms;measure_type;measure_status;chapitre;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.length.cm;long.fil.cm;cal.order;long_negative_cal.length_mm;cal.value;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;distance.m;out.long.tuyau.sol.cm;pt.haut.cm;pt.bas1.cm;pt.bas2.cm;pt.bas3.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;x.archive.cal.station_id
22220786_20251202;47,62269;-64,82948;NA;verified;ch2;INK;INK.pasMare.A2.m1m.2025;INK.pasMare.A2;NA;22220786;HOBO U20L;;137,5;NA;NA;NA;;2025-05-25 10:00;2025-11-13 11:00;-1;18,1;18,1;0;0;0;16;-16;2025-05-26;09:00:01;AP;57,4;-57,4;2025-07-21;11:47:01;AP;29,5;-29,5;2025-11-13;11:19:00;AG;NA;NA;NA;NA;NA;6915
22195240_20251210;47,62294;-64,82822;NA;verified;ch2;INK;INK.pasMare.A1.m1m.2025;INK.pasMare.A1;NA;22195240;HOBO U20L;;138;NA;NA;NA;;2025-05-24 11:00;2025-11-13 11:00;-1;20,6;20,6;0;0;0;19;-19;2025-05-26;08:00:01;AP;70,8;-70,8;2025-07-21;11:12:01;AP;49,5;-49,5;2025-11-13;11:04:00;AG;NA;NA;NA;NA;NA;6915
22063142_20251210;47,62264;-64,82943;NA;verified;ch2;INK;INK.pasMare.A2.p7m.2025;INK.pasMare.A2;NA;22063142;HOBO U20L;;140,6;NA;NA;NA;;2025-05-25 10:00;2025-11-13 11:00;7;15,9;15,9;0;0;0;21,5;-21,5;2025-05-26;09:00:01;AP;65,5;-65,5;2025-07-21;11:43:01;AP;66;-66;2025-11-13;11:21:00;AG;NA;NA;NA;NA;NA;6915
41378_20251128;46,70583;-71,06376;calibration;verified;ch2;STH;STH.C.p2,5m.2025;STH.C;;41378;ODYSSEY;80;80;1;-800;1787;archive out :  56,4  (??) // 27 nov zip level (vs sol du puits m1m) = 27,2 cm // N'a pas enregistré de données…;2025-05-03 17:00;2025-11-27 11:00;0;27,2;27,2;0;0;0;21,5;-21,5;2025-07-30;14:53:01;"AG;AP";47;-47;2025-09-18;15:15:00;AG;18,5;-18,5;2025-11-27;11:00:00;AG;29,75;-29,75;2025-10-16;12:15:00;AG;NA
41378_20251128;46,70583;-71,06376;calibration;verified;ch2;STH;STH.C.p2,5m.2025;STH.C;;41378;ODYSSEY;20;80;2;-200;3056;CANAL LUI (27 nov);2025-05-03 17:00;2025-11-27 11:00;0;27,2;27,2;0;0;0;21,5;-21,5;2025-07-30;14:53:01;"AG;AP";47;-47;2025-09-18;15:15:00;AG;18,5;-18,5;2025-11-27;11:00:00;AG;29,75;-29,75;2025-10-16;12:15:00;AG;NA
41378_20251128;46,70583;-71,06376;offset_measurement;verified;ch2;STH;STH.C.p2,5m.2025;STH.C;;41378;ODYSSEY;;80;NA;NA;;41376 erroné, c'était 41378 tout le long (?);2025-05-03 17:00;2025-11-27 11:00;0;27,2;27,2;0;0;0;21,5;-21,5;2025-07-30;14:53:01;"AG;AP";47;-47;2025-09-18;15:15:00;AG;18,5;-18,5;2025-11-27;11:00:00;AG;29,75;-29,75;2025-10-16;12:15:00;AG;NA
41387_20251128;46,70589;-71,06369;calibration;pending_approbation;ch2;STH;STH.C.m1m.2025;STH.C;;41387;ODYSSEY;80;80;1;-800;1645;N'a pas enregistré de données…;2025-05-03 17:00;2025-11-27 10:00;-1;23,2;23,2;0;0;0;24,3;-24,3;2025-07-30;14:57:01;"AG;AP";35,5;-35,5;2025-09-18;15:40:00;AG;33;-33;2025-10-16;12:09:00;AG;24;-24;2025-11-27;11:20:00;AG;NA
41387_20251128;46,70589;-71,06369;calibration;pending_approbation;ch2;STH;STH.C.m1m.2025;STH.C;;41387;ODYSSEY;20;80;2;-200;2755;;2025-05-03 17:00;2025-11-27 10:00;-1;23,2;23,2;0;0;0;24,3;-24,3;2025-07-30;14:57:01;"AG;AP";35,5;-35,5;2025-09-18;15:40:00;AG;33;-33;2025-10-16;12:09:00;AG;24;-24;2025-11-27;11:20:00;AG;NA
41387_20251128;46,70589;-71,06369;offset_measurement;pending_approbation;ch2;STH;STH.C.m1m.2025;STH.C;;41387;ODYSSEY;;80;NA;NA;;;2025-05-03 17:00;2025-11-27 10:00;-1;23,2;23,2;0;0;0;24,3;-24,3;2025-07-30;14:57:01;"AG;AP";35,5;-35,5;2025-09-18;15:40:00;AG;33;-33;2025-10-16;12:09:00;AG;24;-24;2025-11-27;11:20:00;AG;NA
41359_20241125;NA;NA;calibration;approved;ch2;STH;STH.C.m1m.2024;STH.C;NA;41359;ODYSSEY;80;80;1;NA;1748;;2024-06-13 15:00;2024-11-13 11:00;-1;30,53;-109,6;-138,6;-142,4;-139,4;25,5;-25,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
