"Titre de tracé : Burnt Church"
"#","Date Heure, GMT-03:00","Pres. abs., kPa (LGR S/N: 22063141, SEN S/N: 22063141)","Temp., °C (LGR S/N: 22063141, SEN S/N: 22063141)","Coupleur détaché (LGR S/N: 22063141)","Coupleur attaché (LGR S/N: 22063141)","Hôte connecté (LGR S/N: 22063141)","Arrêté (LGR S/N: 22063141)","Fin de fichier (LGR S/N: 22063141)"
1,07/16/25 08:00:00 PM,100.852,32.497,Enregistré,,,,
2,07/16/25 09:00:00 PM,100.860,33.848,,,,,
3,07/16/25 10:00:00 PM,100.912,33.639,,,,,
4,07/16/25 11:00:00 PM,100.913,32.704,,,,,
5,07/17/25 12:00:00 AM,100.908,31.472,,,,,
6,07/17/25 01:00:00 AM,100.855,30.154,,,,,
7,07/17/25 02:00:00 AM,100.898,29.053,,,,,
8,07/17/25 03:00:00 AM,100.825,27.862,,,,,
9,07/17/25 04:00:00 AM,100.780,26.879,,,,,
10,07/17/25 05:00:00 AM,100.723,25.902,,,,,
11,07/17/25 06:00:00 AM,100.787,25.222,,,,,
12,07/17/25 07:00:00 AM,100.947,24.351,,,,,
13,07/17/25 08:00:00 AM,100.990,25.222,,,,,
14,07/17/25 09:00:00 AM,100.988,27.075,,,,,
15,07/17/25 10:00:00 AM,100.993,28.258,,,,,
16,07/17/25 11:00:00 AM,100.943,29.053,,,,,
17,07/17/25 12:00:00 PM,100.855,33.118,,,,,
18,07/17/25 01:00:00 PM,100.815,33.848,,,,,
19,07/17/25 02:00:00 PM,100.750,36.511,,,,,
20,07/17/25 03:00:00 PM,100.663,36.187,,,,,
21,07/17/25 04:00:00 PM,100.335,34.691,,,,,
22,07/17/25 05:00:00 PM,100.376,34.479,,,,,
23,07/17/25 06:00:00 PM,100.341,35.971,,,,,
24,07/17/25 07:00:00 PM,100.332,35.542,,,,,
25,07/17/25 08:00:00 PM,100.258,34.796,,,,,
26,07/17/25 09:00:00 PM,100.233,33.639,,,,,
27,07/17/25 10:00:00 PM,100.191,32.291,,,,,
28,07/17/25 11:00:00 PM,100.152,31.064,,,,,
29,07/18/25 12:00:00 AM,100.038,30.054,,,,,
30,07/18/25 01:00:00 AM,99.905,29.152,,,,,
31,07/18/25 02:00:00 AM,99.853,28.357,,,,,
32,07/18/25 03:00:00 AM,99.803,27.665,,,,,
33,07/18/25 04:00:00 AM,99.699,27.075,,,,,
34,07/18/25 05:00:00 AM,99.711,26.585,,,,,
35,07/18/25 06:00:00 AM,99.700,26.097,,,,,
36,07/18/25 07:00:00 AM,99.878,25.513,,,,,
37,07/18/25 08:00:00 AM,100.062,24.641,,,,,
38,07/18/25 09:00:00 AM,100.207,23.100,,,,,
39,07/18/25 10:00:00 AM,100.300,21.760,,,,,
40,07/18/25 11:00:00 AM,100.441,24.448,,,,,
41,07/18/25 12:00:00 PM,100.561,28.655,,,,,
42,07/18/25 01:00:00 PM,100.633,28.357,,,,,
43,07/18/25 02:00:00 PM,100.717,30.558,,,,,
44,07/18/25 03:00:00 PM,100.775,33.118,,,,,
45,07/18/25 04:00:00 PM,100.794,33.430,,,,,
46,07/18/25 05:00:00 PM,100.742,30.659,,,,,
47,07/18/25 06:00:00 PM,100.843,32.086,,,,,
48,07/18/25 07:00:00 PM,100.906,32.394,,,,,
49,07/18/25 08:00:00 PM,100.985,31.370,,,,,
50,07/18/25 09:00:00 PM,101.018,29.853,,,,,
51,07/18/25 10:00:00 PM,101.056,28.060,,,,,
52,07/18/25 11:00:00 PM,101.105,26.292,,,,,
53,07/19/25 12:00:00 AM,101.101,24.641,,,,,
54,07/19/25 01:00:00 AM,101.099,23.100,,,,,
55,07/19/25 02:00:00 AM,101.155,21.664,,,,,
56,07/19/25 03:00:00 AM,101.158,20.329,,,,,
57,07/19/25 04:00:00 AM,101.176,19.187,,,,,
58,07/19/25 05:00:00 AM,101.207,18.140,,,,,
59,07/19/25 06:00:00 AM,101.230,17.189,,,,,
60,07/19/25 07:00:00 AM,101.259,16.523,,,,,
61,07/19/25 08:00:00 AM,101.297,17.189,,,,,
62,07/19/25 09:00:00 AM,101.327,19.377,,,,,
