"Titre de tracé : Président-Ouest"
"#","Date Heure, GMT-04:00","Pres. abs., kPa (LGR S/N: 22220781, SEN S/N: 22220781)","Temp., °C (LGR S/N: 22220781, SEN S/N: 22220781)","Coupleur détaché (LGR S/N: 22220781)","Coupleur attaché (LGR S/N: 22220781)","Hôte connecté (LGR S/N: 22220781)","Arrêté (LGR S/N: 22220781)","Fin de fichier (LGR S/N: 22220781)"
1,05/05/25 01:40:55 PM,101.567,23.388,,,,,
2,05/05/25 01:41:04 PM,,,Enregistré,,,,
3,05/05/25 02:40:55 PM,101.493,22.621,,,,,
4,05/05/25 03:40:55 PM,101.480,21.378,,,,,
5,05/05/25 04:40:55 PM,102.197,25.902,,,,,
6,05/05/25 05:40:55 PM,102.387,25.319,,,,,
7,05/05/25 06:40:55 PM,102.306,22.429,,,,,
8,05/05/25 07:40:55 PM,102.430,21.282,,,,,
9,05/05/25 08:40:55 PM,102.433,23.773,,,,,
10,05/05/25 09:40:55 PM,102.511,23.388,,,,,
11,05/05/25 10:40:55 PM,102.492,22.046,,,,,
12,05/05/25 11:40:55 PM,102.500,20.519,,,,,
13,05/06/25 12:40:55 AM,102.480,19.187,,,,,
14,05/06/25 01:40:55 AM,102.441,17.950,,,,,
15,05/06/25 02:40:55 AM,102.423,16.903,,,,,
16,05/06/25 03:40:55 AM,102.402,16.046,,,,,
17,05/06/25 04:40:55 AM,102.325,15.282,,,,,
18,05/06/25 05:40:55 AM,102.331,14.709,,,,,
19,05/06/25 06:40:55 AM,102.301,14.134,,,,,
20,05/06/25 07:40:55 AM,101.397,14.804,,,,,
21,05/06/25 08:40:55 AM,101.830,17.570,,,,,
22,05/06/25 09:40:55 AM,101.261,18.236,,,,,
23,05/06/25 10:40:55 AM,107.368,4.831,,,,,
24,05/06/25 11:40:55 AM,107.235,4.207,,,,,
25,05/06/25 12:40:55 PM,107.085,4.102,,,,,
26,05/06/25 01:40:55 PM,106.977,4.102,,,,,
27,05/06/25 02:40:55 PM,106.869,4.102,,,,,
28,05/06/25 03:40:55 PM,106.762,4.102,,,,,
29,05/06/25 04:40:55 PM,106.666,4.102,,,,,
30,05/06/25 05:40:55 PM,106.522,4.102,,,,,
31,05/06/25 06:40:55 PM,106.462,4.102,,,,,
32,05/06/25 07:40:55 PM,106.438,4.102,,,,,
33,05/06/25 08:40:55 PM,106.474,4.102,,,,,
34,05/06/25 09:40:55 PM,106.474,4.102,,,,,
35,05/06/25 10:40:55 PM,106.379,4.102,,,,,
36,05/06/25 11:40:55 PM,106.355,4.102,,,,,
37,05/07/25 12:40:55 AM,106.283,4.102,,,,,
38,05/07/25 01:40:55 AM,106.175,4.102,,,,,
39,05/07/25 02:40:55 AM,106.151,4.102,,,,,
40,05/07/25 03:40:55 AM,106.067,4.102,,,,,
41,05/07/25 04:40:55 AM,106.019,4.102,,,,,
42,05/07/25 05:40:55 AM,106.026,4.207,,,,,
43,05/07/25 06:40:55 AM,106.061,4.207,,,,,
44,05/07/25 07:40:55 AM,106.038,4.207,,,,,
45,05/07/25 08:40:55 AM,105.990,4.207,,,,,
46,05/07/25 09:40:55 AM,105.978,4.207,,,,,
47,05/07/25 10:40:55 AM,105.978,4.207,,,,,
48,05/07/25 11:40:55 AM,105.894,4.207,,,,,
49,05/07/25 12:40:55 PM,105.798,4.207,,,,,
50,05/07/25 01:40:55 PM,105.762,4.207,,,,,
51,05/07/25 02:40:55 PM,105.678,4.207,,,,,
52,05/07/25 03:40:55 PM,105.702,4.207,,,,,
53,05/07/25 04:40:55 PM,105.918,4.207,,,,,
54,05/07/25 05:40:55 PM,105.834,4.207,,,,,
55,05/07/25 06:40:55 PM,105.918,4.207,,,,,
56,05/07/25 07:40:55 PM,105.918,4.207,,,,,
57,05/07/25 08:40:55 PM,106.097,4.207,,,,,
58,05/07/25 09:40:55 PM,106.253,4.207,,,,,
59,05/07/25 10:40:55 PM,106.397,4.207,,,,,
60,05/07/25 11:40:55 PM,106.505,4.207,,,,,
61,05/08/25 12:40:55 AM,106.583,4.311,,,,,
62,05/08/25 01:40:55 AM,106.655,4.311,,,,,
63,05/08/25 02:40:55 AM,106.666,4.311,,,,,
64,05/08/25 03:40:55 AM,106.714,4.311,,,,,
65,05/08/25 04:40:55 AM,106.726,4.311,,,,,
66,05/08/25 05:40:55 AM,106.810,4.311,,,,,
67,05/08/25 06:40:55 AM,106.918,4.311,,,,,
68,05/08/25 07:40:55 AM,106.990,4.311,,,,,
69,05/08/25 08:40:55 AM,107.098,4.311,,,,,
70,05/08/25 09:40:55 AM,107.193,4.311,,,,,
71,05/08/25 10:40:55 AM,107.229,4.311,,,,,
72,05/08/25 11:40:55 AM,107.301,4.311,,,,,
73,05/08/25 12:40:55 PM,107.349,4.311,,,,,
74,05/08/25 01:40:55 PM,107.409,4.311,,,,,
75,05/08/25 02:40:55 PM,107.481,4.311,,,,,
76,05/08/25 03:40:55 PM,107.493,4.311,,,,,
77,05/08/25 04:40:55 PM,107.523,4.415,,,,,
78,05/08/25 05:40:55 PM,107.571,4.415,,,,,
79,05/08/25 06:40:55 PM,107.559,4.415,,,,,
80,05/08/25 07:40:55 PM,107.643,4.415,,,,,
81,05/08/25 08:40:55 PM,107.739,4.415,,,,,
82,05/08/25 09:40:55 PM,107.739,4.415,,,,,
83,05/08/25 10:40:55 PM,107.739,4.415,,,,,
84,05/08/25 11:40:55 PM,107.787,4.415,,,,,
85,05/09/25 12:40:55 AM,107.763,4.415,,,,,
86,05/09/25 01:40:55 AM,107.751,4.415,,,,,
87,05/09/25 02:40:55 AM,107.727,4.415,,,,,
88,05/09/25 03:40:55 AM,107.703,4.415,,,,,
89,05/09/25 04:40:55 AM,107.715,4.415,,,,,
90,05/09/25 05:40:55 AM,107.763,4.415,,,,,
91,05/09/25 06:40:55 AM,107.745,4.519,,,,,
92,05/09/25 07:40:55 AM,107.757,4.519,,,,,
93,05/09/25 08:40:55 AM,107.757,4.519,,,,,
94,05/09/25 09:40:55 AM,107.685,4.519,,,,,
95,05/09/25 10:40:55 AM,107.613,4.519,,,,,
96,05/09/25 11:40:55 AM,107.601,4.519,,,,,
97,05/09/25 12:40:55 PM,107.493,4.519,,,,,
98,05/09/25 01:40:55 PM,107.410,4.519,,,,,
99,05/09/25 02:40:55 PM,107.314,4.519,,,,,
100,05/09/25 03:40:55 PM,107.242,4.519,,,,,
101,05/09/25 04:40:55 PM,107.146,4.519,,,,,
102,05/09/25 05:40:55 PM,107.122,4.519,,,,,
103,05/09/25 06:40:55 PM,107.098,4.519,,,,,
104,05/09/25 07:40:55 PM,107.069,4.623,,,,,
105,05/09/25 08:40:55 PM,107.057,4.623,,,,,
106,05/09/25 09:40:55 PM,107.033,4.623,,,,,
107,05/09/25 10:40:55 PM,106.997,4.623,,,,,
108,05/09/25 11:40:55 PM,106.925,4.623,,,,,
109,05/10/25 12:40:55 AM,106.853,4.623,,,,,
110,05/10/25 01:40:55 AM,106.793,4.623,,,,,
111,05/10/25 02:40:55 AM,106.697,4.623,,,,,
112,05/10/25 03:40:55 AM,106.697,4.623,,,,,
113,05/10/25 04:40:55 AM,106.661,4.623,,,,,
114,05/10/25 05:40:55 AM,106.577,4.623,,,,,
115,05/10/25 06:40:55 AM,106.553,4.623,,,,,
116,05/10/25 07:40:55 AM,106.530,4.623,,,,,
117,05/10/25 08:40:55 AM,106.434,4.623,,,,,
118,05/10/25 09:40:55 AM,106.368,4.727,,,,,
119,05/10/25 10:40:55 AM,106.320,4.727,,,,,
120,05/10/25 11:40:55 AM,106.296,4.727,,,,,
121,05/10/25 12:40:55 PM,106.224,4.727,,,,,
122,05/10/25 01:40:55 PM,106.140,4.727,,,,,
123,05/10/25 02:40:55 PM,106.116,4.727,,,,,
124,05/10/25 03:40:55 PM,106.057,4.727,,,,,
125,05/10/25 04:40:55 PM,106.009,4.727,,,,,
126,05/10/25 05:40:55 PM,106.057,4.727,,,,,
127,05/10/25 06:40:55 PM,106.021,4.727,,,,,
128,05/10/25 07:40:55 PM,106.105,4.727,,,,,
129,05/10/25 08:40:55 PM,106.105,4.727,,,,,
130,05/10/25 09:40:55 PM,106.140,4.727,,,,,
131,05/10/25 10:40:55 PM,106.164,4.727,,,,,
132,05/10/25 11:40:55 PM,106.224,4.727,,,,,
133,05/11/25 12:40:55 AM,106.284,4.727,,,,,
