"Titre de tracé : Burnt Church"
"#","Date Heure, GMT-03:00","Pres. abs., kPa (LGR S/N: 22224385, SEN S/N: 22224385)","Temp., °C (LGR S/N: 22224385, SEN S/N: 22224385)","Coupleur détaché (LGR S/N: 22224385)","Coupleur attaché (LGR S/N: 22224385)","Hôte connecté (LGR S/N: 22224385)","Arrêté (LGR S/N: 22224385)","Fin de fichier (LGR S/N: 22224385)"
1,07/16/25 08:00:00 PM,100.700,32.600,Enregistré,,,,
2,07/16/25 09:00:00 PM,100.743,34.163,,,,,
3,07/16/25 10:00:00 PM,100.788,33.848,,,,,
4,07/16/25 11:00:00 PM,100.740,32.911,,,,,
5,07/17/25 12:00:00 AM,100.748,31.676,,,,,
6,07/17/25 01:00:00 AM,100.703,30.356,,,,,
7,07/17/25 02:00:00 AM,100.722,29.152,,,,,
8,07/17/25 03:00:00 AM,100.650,28.060,,,,,
9,07/17/25 04:00:00 AM,100.577,26.977,,,,,
10,07/17/25 05:00:00 AM,100.587,26.097,,,,,
11,07/17/25 06:00:00 AM,100.602,25.319,,,,,
12,07/17/25 07:00:00 AM,100.769,24.448,,,,,
13,07/17/25 08:00:00 AM,100.753,25.416,,,,,
14,07/17/25 09:00:00 AM,100.768,28.456,,,,,
15,07/17/25 10:00:00 AM,100.795,32.807,,,,,
16,07/17/25 11:00:00 AM,100.794,36.187,,,,,
17,07/17/25 12:00:00 PM,100.765,39.163,,,,,
18,07/17/25 01:00:00 PM,100.703,42.164,,,,,
19,07/17/25 02:00:00 PM,100.605,42.998,,,,,
20,07/17/25 03:00:00 PM,100.532,45.076,,,,,
21,07/17/25 04:00:00 PM,100.218,38.379,,,,,
22,07/17/25 05:00:00 PM,100.206,35.328,,,,,
23,07/17/25 06:00:00 PM,100.185,36.403,,,,,
24,07/17/25 07:00:00 PM,100.171,36.620,,,,,
25,07/17/25 08:00:00 PM,100.113,35.649,,,,,
26,07/17/25 09:00:00 PM,100.063,34.163,,,,,
27,07/17/25 10:00:00 PM,100.026,32.704,,,,,
28,07/17/25 11:00:00 PM,99.957,31.370,,,,,
29,07/18/25 12:00:00 AM,99.837,30.255,,,,,
30,07/18/25 01:00:00 AM,99.692,29.352,,,,,
31,07/18/25 02:00:00 AM,99.667,28.456,,,,,
32,07/18/25 03:00:00 AM,99.593,27.764,,,,,
33,07/18/25 04:00:00 AM,99.511,27.173,,,,,
34,07/18/25 05:00:00 AM,99.520,26.683,,,,,
35,07/18/25 06:00:00 AM,99.505,26.195,,,,,
36,07/18/25 07:00:00 AM,99.747,24.738,,,,,
37,07/18/25 08:00:00 AM,99.821,24.351,,,,,
38,07/18/25 09:00:00 AM,99.947,25.902,,,,,
39,07/18/25 10:00:00 AM,100.100,28.853,,,,,
40,07/18/25 11:00:00 AM,100.253,31.472,,,,,
41,07/18/25 12:00:00 PM,100.375,33.118,,,,,
42,07/18/25 01:00:00 PM,100.450,34.374,,,,,
43,07/18/25 02:00:00 PM,100.534,35.328,,,,,
44,07/18/25 03:00:00 PM,100.614,36.728,,,,,
45,07/18/25 04:00:00 PM,100.675,33.535,,,,,
46,07/18/25 05:00:00 PM,100.571,30.154,,,,,
47,07/18/25 06:00:00 PM,100.675,33.535,,,,,
48,07/18/25 07:00:00 PM,100.750,33.118,,,,,
49,07/18/25 08:00:00 PM,100.831,31.166,,,,,
50,07/18/25 09:00:00 PM,100.849,29.252,,,,,
51,07/18/25 10:00:00 PM,100.871,27.272,,,,,
52,07/18/25 11:00:00 PM,100.940,25.513,,,,,
53,07/19/25 12:00:00 AM,100.940,23.869,,,,,
54,07/19/25 01:00:00 AM,100.956,22.333,,,,,
55,07/19/25 02:00:00 AM,100.970,20.996,,,,,
56,07/19/25 03:00:00 AM,100.982,19.662,,,,,
57,07/19/25 04:00:00 AM,101.030,18.521,,,,,
58,07/19/25 05:00:00 AM,101.070,17.475,,,,,
59,07/19/25 06:00:00 AM,101.086,16.618,,,,,
60,07/19/25 07:00:00 AM,101.097,16.237,,,,,
61,07/19/25 08:00:00 AM,101.119,17.665,,,,,
62,07/19/25 09:00:00 AM,101.127,20.996,,,,,
63,07/19/25 10:00:00 AM,101.070,26.292,,,,,
64,07/19/25 11:00:00 AM,100.871,27.272,,,,,
65,07/19/25 12:00:00 PM,101.192,28.456,,,,,
66,07/19/25 01:00:00 PM,101.136,33.535,,,,,
67,07/19/25 02:00:00 PM,101.062,31.880,,,,,
68,07/19/25 03:00:00 PM,100.996,30.862,,,,,
69,07/19/25 04:00:00 PM,100.674,30.963,,,,,
70,07/19/25 05:00:00 PM,100.882,31.676,,,,,
71,07/19/25 06:00:00 PM,100.828,31.574,,,,,
72,07/19/25 07:00:00 PM,100.805,30.457,,,,,
73,07/19/25 08:00:00 PM,100.813,30.154,,,,,
74,07/19/25 09:00:00 PM,100.878,29.352,,,,,
75,07/19/25 10:00:00 PM,100.879,28.060,,,,,
76,07/19/25 11:00:00 PM,100.898,26.683,,,,,
77,07/20/25 12:00:00 AM,100.873,25.610,,,,,
78,07/20/25 01:00:00 AM,100.798,24.738,,,,,
79,07/20/25 02:00:00 AM,100.783,23.869,,,,,
80,07/20/25 03:00:00 AM,100.755,23.004,,,,,
81,07/20/25 04:00:00 AM,100.709,22.046,,,,,
82,07/20/25 05:00:00 AM,100.704,20.996,,,,,
83,07/20/25 06:00:00 AM,100.705,20.234,,,,,
84,07/20/25 07:00:00 AM,100.711,19.758,,,,,
85,07/20/25 08:00:00 AM,100.711,19.567,,,,,
86,07/20/25 09:00:00 AM,100.692,21.569,,,,,
87,07/20/25 10:00:00 AM,100.669,23.388,,,,,
88,07/20/25 11:00:00 AM,100.573,27.764,,,,,
89,07/20/25 12:00:00 PM,100.608,32.704,,,,,
90,07/20/25 01:00:00 PM,100.556,31.472,,,,,
91,07/20/25 02:00:00 PM,100.458,30.760,,,,,
92,07/20/25 03:00:00 PM,100.413,29.252,,,,,
93,07/20/25 04:00:00 PM,100.335,28.060,,,,,
94,07/20/25 05:00:00 PM,100.371,28.060,,,,,
95,07/20/25 06:00:00 PM,100.156,27.665,,,,,
96,07/20/25 07:00:00 PM,100.163,27.370,,,,,
97,07/20/25 08:00:00 PM,100.125,26.683,,,,,
98,07/20/25 09:00:00 PM,100.087,25.610,,,,,
99,07/20/25 10:00:00 PM,100.080,24.448,,,,,
100,07/20/25 11:00:00 PM,100.072,23.484,,,,,
101,07/21/25 12:00:00 AM,100.026,22.525,,,,,
102,07/21/25 01:00:00 AM,99.998,21.664,,,,,
103,07/21/25 02:00:00 AM,99.981,20.996,,,,,
104,07/21/25 03:00:00 AM,99.915,20.329,,,,,
105,07/21/25 04:00:00 AM,99.904,19.567,,,,,
106,07/21/25 05:00:00 AM,99.928,18.806,,,,,
107,07/21/25 06:00:00 AM,99.975,18.045,,,,,
108,07/21/25 07:00:00 AM,99.957,17.570,,,,,
109,07/21/25 08:00:00 AM,99.933,17.570,,,,,
