file.uid;lat.garmin.dms;long.garmin.dms;measure_status;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.neg.length1_mm;cal.value1;cal.neg.length2_mm;cal.value2;cal.neg.length3_mm;cal.value3;long.fil.cm;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;out.mean.cm;out.1.a.cm;out.1.b.cm;out.1.c.cm;out.2.a.cm;out.2.b.cm;out.2.c.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;in.bulleur.measure.status
22224384_20251202;47,16956;-65,19311;verified;BRNTC;BRNTC.ch1.C00keptChannels.2025;BRNTC.ch1.C00keptChannels;NA;22224384;HOBO U20L;;;NA;;;;103,8;bulleur 1 24/07/25 nappe pas accessible ;2025-07-20 09:00;2025-11-13 08:00;72,6;0;0;0;0;0;0;NA;NA;2025-07-24;07:00:01;"AP; nappe trop prof";98;-98;2025-11-13;06:26:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22224407_20250717;47,17032;-65,19318;approved;BRNTC;BRNTC.ch1.pre1.2025;BRNTC.ch1.pre1;NA;22224407;HOBO U20L;;;NA;;;;105,5;out remesuré 17 juillet, moyenne des deux;2025-05-18 13:00;2025-07-17 10:00;33,7;0;0;0;0;0;0;81;-81;2025-07-17;09:00:01;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22195247_20250716;47,17319;-65,19276;approved;BRNTC;BRNTC.ch1.pre2.2025;BRNTC.ch1.pre2;NA;22195247;HOBO U20L;;;NA;;;;104,1;"""Out"" mesurés le 07-16 lors du retrait = 50,7;49,9;48,8 cm";2025-05-18 16:00;2025-07-16 14:00;45,5;0;0;0;0;0;0;94,5;-94,5;2025-07-16;13:00:01;"AG;AP";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22224381_20251125;47,17157;-65,19262;verified;BRNTC;BRNTC.ch1.R24.2025;BRNTC.ch1.R24;NA;22224381;HOBO U20L;;;NA;;;;102;;2025-05-18 12:00;2025-11-13 08:00;55,7;0;0;0;0;0;0;81,4;-81,4;2025-07-18;15:00:01;AP;91,2;-91,2;2024-07-24;08:00:01;AP;70;-70;2025-11-13;06:19:00;AG;NA;NA;NA;NA;NA;
22224385_20251210;47,17358;-65,19203;verified;BRNTC;BRNTC.ch1.T1grProtec.2025;BRNTC.ch1.T1grProtec;NA;22224385;HOBO U20L;;;NA;;;;140;;2025-07-26 12:10;2025-11-13 08:00;74,3;0;0;0;0;0;0;101;-101;2025-11-13;06:48:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22224402_20251210;47,17335;-65,19267;verified;BRNTC;BRNTC.ch1.T2grRefrsh.2025;BRNTC.ch1.T2grRefrsh;NA;22224402;HOBO U20L;;;NA;;;;136,8;cap deplace depui lgtmps env 4cm  plus  haut (le out );2025-07-26 12:00;2025-11-13 08:00;67,2;0;0;0;0;0;0;80;-80;2025-11-13;06:42:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22063141_20251210;47,1703;-65,19299;verified;BRNTC;BRNTC.ch1.T3chippd.2025;BRNTC.ch1.T3chippd;NA;22063141;HOBO U20L;;;NA;;;;136,2;;2025-07-26 08:00;2025-11-13 08:00;82,2;0;0;0;0;0;0;93,5;-93,5;2025-11-13;06:32:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22224401_20251202;47,17922;-65,18117;verified;BRNTC;BRNTC.NA.barometricStation.2025;BRNTC.NA.barometricStation;NA;22224401;HOBO U20L;;;NA;;;;NA;;2025-07-23 09:00;2025-11-13 10:00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22195241_20251202;47,79696;-69,50703;verified;PRO;PRO.ch1.C0noChannels.2025;PRO.ch1.C0noChannels;NA;22195241;HOBO U20L;;;NA;;;;143,7;était écrit comme BRNTC, erreur, changé le 7 août pour PRO;2025-07-30 10:00;2025-11-12 10:00;60,9;0;0;0;0;0;0;138,5;-138,5;2025-10-07;12:31:00;AG;92,5;-92,5;2025-11-12;08:34:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22224413_20251202;47,79792;-69,50775;verified;PRO;PRO.ch1.C00keptChannels.2025;PRO.ch1.C00keptChannels;NA;22224413;HOBO U20L;;;NA;;;;119,7;bulleur 1 17/09/25 nappe pas accessible  // était écrit comme BRNTC, erreur, changé le 7 août pour PRO;2025-07-30 10:00;2025-11-12 10:00;68,1;0;0;0;0;0;0;NA;NA;2025-09-17;14:15:00;"AP; nappe trop prof";NA;NA;2025-10-07;13:16:00;"AG; nappe trop prof";87,5;-87,5;2025-11-12;09:16:00;AG;NA;NA;NA;NA;NA;
