form_or_dataset;onglet;statut;column_name;manuel/automatique/facultatif;long_format_name;original_idea;note;coding
tous;;;"contient ""uid""";;;;colonne contenant l'info unique de la ligne ou l'info descriptive  aggrégée de la ligne. ;"voir script ""functions_phd_vX.R""              col.sequence <- list() # idée : nom des colonnes à mettre dans col.sequence... y référer dans la boucle
  col.sequence$trmnt.uid.aaaa <- c(""site.uid"", ""chapter"", ""type"", ""year"", ""no"")
  col.sequence$trmnt.uid <- c(""site.uid"", ""chapter"", ""type"")
  col.sequence$trmnt.uid.orient.NO.aaaa <- c(""site.uid"", ""chapter"", ""type"", ""orientation"", ""transect.replicate"", ""year"")
  col.sequence$perm.plot.uid.NO.quadrat.aaaa <- c(""site.uid"", ""chapter"", ""type"", ""perm.plot.replicate"", ""perm.plot.type"", ""quadrat.letter"", ""year"")
  col.sequence$trmnt.uid.rel.dist.aaaa <- c(""site.uid"", ""chapter"", ""type"", ""relative.distance"", ""year"")
  col.sequence$trmnt.uid.rel.dist.quadrat.aaaa <- c(""site.uid"", ""chapter"", ""type"", ""relative.distance"", ""quadrat.letter"", ""year"")
  col.sequence$trmnt.uid.ch3.position.aaaa <- c(""site.uid"", ""chapter"", ""type"", ""well.no"", ""year"") col.sequence$well.uid <- list()
  col.sequence$well.uid$chap1 <- c(""site.uid"", ""chapter"", ""type"", ""year"") # traiter stations barométriques mm façon que les sonde du chapitre 1
  col.sequence$well.uid$chap2 <- c(""site.uid"", ""chapter"", ""type"", ""relative.distance"", ""year"")
  col.sequence$well.uid$chap3 <- c(""site.uid"", ""chapter"", ""type"", ""relative.distance"", ""year"")"
level_logger_calibration_all.csv;;valide;-;;;;Essentielle, cette feuille de données consigne à tout le moins l'emplacement de CHACUNES de mes sondes de niveau hydrostatique.;
level_logger_calibration_all.csv;;valide;fichier.uid;manuel;identifiant unique de fichier;composition : probe.uid.extraction.date.aaaammjj;"nommer les fichiers de SNH ainsi, une fois qu'on en extrait les données pour ensuite les RÉINITIALISER. // Si on extrait et poursuit les mesures, noter ""BACKUP"" en plus dans le nom de fichier.";
level_logger_calibration_all.csv;;valide;lat.garmin.dms;manuel;latitude avec le GPS Garmin, en degrés-minutes-secondes;un point par puits;EPSG : 4326 / WSG84 (Garmin);
level_logger_calibration_all.csv;;valide;long.garmin.dms;manuel;longitude avec le GPS Garmin, en degrés-minutes-secondes;un point par puits;EPSG : 4326 / WSG84 (Garmin);
level_logger_calibration_all.csv;;valide;measure_type;manuel;type de mesure;"soit ""calibration"" ou ""offset_measurement""";"""calibration"" : 1x mesure à 20 ou 80 cm + 1x mesure à 80/120 cm (2 lignes distinctes // et ""offset_measurement"" : au moment de l'extraction des données du level logger, aller chercher la mesure du ll au moment de la mesure avec le bulleur (plus de 48h après l'installation). ";
level_logger_calibration_all.csv;;valide;measure_status;"automatiquement ""pending approbation"" / changement manuel";statut de la mesure/donnée/ligne;"""pending_approbation"" / ""approved"" / ""rejected""";;
level_logger_calibration_all.csv;;valide;site.uid;manuel;Identifiant unique de site;;;
level_logger_calibration_all.csv;;valide;well.uid;manuel;identifiant unique de puits;traitement (abrupte:A/doux:D).dist.m.aaaa // ou pour les autres chapitres;;
level_logger_calibration_all.csv;;valide;trmnt.uid;manuel;identifiant unique de traitement;siteUID.traitement (abrupte:A/doux:D);;
level_logger_calibration_all.csv;;valide;lab.probe.id;manuel;identifiant de SNH;identifiant de legel logger si différent de probe.uid;exemple : 41383 n'existe pas/par le bon # dans les fichiers de ce level logger;
level_logger_calibration_all.csv;;valide;probe.uid;manuel;"identifiant unique de sonde de niveau hydrostatique:  ""SNH""/sonde/probe/level logger";;;
level_logger_calibration_all.csv;;valide;probe.brand;manuel;longueur_negative_calibration.length_mm_y;correspond à la valeur y de la droite de calibration;;
level_logger_calibration_all.csv;;valide;cal.length.cm;manuel;calibration.length_cm;obligatoire pour calibration des sondes (Odyssey et Hobo);réfère à la longueur correspondant à la mesure de la sonde;
level_logger_calibration_all.csv;;valide;long.fil.cm;manuel;;;;
level_logger_calibration_all.csv;;valide;cal.order;manuel;;;;
level_logger_calibration_all.csv;;valide;long_negative_cal.length_mm_y;automatique;longueur_negative_calibration.length_mm_y;;correspond à la valeur y de la droite de calibration;se calcule seul dans R 
level_logger_calibration_all.csv;;valide;cal.value_x;manuel;;;;
level_logger_calibration_all.csv;;valide;comment;manuel;;;;
level_logger_calibration_all.csv;;valide;day.begining.aaaa.mm.dd.hh.mm;manuel;;Jour et heure où les données de level logger sont valides, entrer manuellement. Correspond à 48h après l'installation dans le puits.;dans ce format AAAA TIRET NO DE MOI TIRET JOUR AVEC DEUX UNITÉS TIRET HEURE DEUX UNITÉS MINUTES AVEC DEUX UNITÉS;
level_logger_calibration_all.csv;;valide;day.end.aaaa.mm.dd.hh.mm;manuel;;;dans ce format AAAA TIRET NO DE MOI TIRET JOUR AVEC DEUX UNITÉS TIRET HEURE DEUX UNITÉS MINUTES AVEC DEUX UNITÉS;
level_logger_calibration_all.csv;;valide;distance.m;manuel;;distance de l'ancien canal de drainage;;
level_logger_calibration_all.csv;;valide;out.mean.cm;automatique (R);out longueur du haut de tuyau au sol / margelle ;se calcul dans R ;;se calcule seul dans R, vérification de la valeur entrée
level_logger_calibration_all.csv;;valide;pt.haut.cm;manuel;point haut tuyau;;;
level_logger_calibration_all.csv;;valide;pt.bas1.cm;manuel;point bas tuyau;;;
level_logger_calibration_all.csv;;valide;pt.bas2.cm;manuel;point bas tuyau;;;
level_logger_calibration_all.csv;;valide;pt.bas3.cm;manuel;point bas tuyau;;;
level_logger_calibration_all.csv;;valide;x.archive.pt.haut.cm;manuel;point haut tuyau;;archive protocole données margelle prise avec le ZIP. Je ne traîne pas le ZIP level sur le terrain à chaque fois…;
level_logger_calibration_all.csv;;valide;x.archive.pt.bas1.cm;manuel;point bas tuyau;;archive protocole données margelle prise avec le ZIP. Je ne traîne pas le ZIP level sur le terrain à chaque fois…;
level_logger_calibration_all.csv;;valide;x.archive.pt.bas2.cm;manuel;point bas tuyau;;archive protocole données margelle prise avec le ZIP. Je ne traîne pas le ZIP level sur le terrain à chaque fois…;
level_logger_calibration_all.csv;;valide;x.archive.pt.bas3.cm;manuel;point bas tuyau;;archive protocole données margelle prise avec le ZIP. Je ne traîne pas le ZIP level sur le terrain à chaque fois…;
level_logger_calibration_all.csv;;valide;cal.station_id;manuel;Identifiant de station météorologique pour la calibration;;"données de ECCC/CCCS, tirées en ligne du package ""weathercan""";aller trouver dans R, inscrire ensuite dans le fichier
level_logger_calibration_all.csv;;valide;bulleur.1.prof.cm;manuel;bulleur X profondeur (cm);Plusieurs mesures de bulleur seront prises, il ne faut pas écraser cette donnée. Inscrire la mesure dans la case vide  x + 1;La profondeur de la nappe phréatique est une mesure de la distance verticale qui sépare la surface du sol et la surface de l’eau de la zone saturée du sol. Cette distance est généralement exprimée en centimètre et avec des valeurs positives SI L'EAU EST SOUS LE SOL, puisque cela facilite les calculs subséquents et la description langagière de cette donnée. Il est d’usage de décrire une profondeur de nappe phréatique à 20 cm sous la surface, plutôt que de « moins » 20 cm. Si SUR la surface, profondeur NÉGATIVE.;
level_logger_calibration_all.csv;;valide;bulleur.1.rel.to.surface.cm;manuel;"bulleur X relative à la surface (cm; surface = 0)";Sous la surface = négatid, sur la surface, eau hauteur positive (inverse de bulleur.1.prof.cm);Où le sol est à 0 d'élévation relative à lui-même;=bulleur.1.prof.cm*-1 // se calcule seul
level_logger_calibration_all.csv;;valide;bulleur.1.date.aaaammdd;manuel;bulleur.X.date de la mesure;;dans ce format AAAA TIRET NO DE MOI TIRET JOUR AVEC DEUX UNITÉS;
level_logger_calibration_all.csv;;valide;bulleur.1.time.tz.orig;manuel;bulleur.X.heure locale de la mesure;;;
level_logger_calibration_all.csv;;valide;bulleur.1.date.time.UTC.0;manuel;bulleur.X.heure UTC-0 de la mesure;;;
level_logger_calibration_all.csv;;valide;bulleur.1.obs;manuel;bulleur.X. observateur/trice/s;;;
level_logger_calibration_all.csv;;valide;bulleur.2.prof.cm;manuel;idem;Plusieurs mesures de bulleur seront prises, il ne faut pas écraser cette donnée. Inscrire la mesure dans la case vide  x + 1;;
level_logger_calibration_all.csv;;valide;bulleur.2.rel.to.surface.cm;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.2.date.aaaammdd;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.2.time.tz.orig;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.2.obs;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.3.prof.cm;manuel;idem;Plusieurs mesures de bulleur seront prises, il ne faut pas écraser cette donnée. Inscrire la mesure dans la case vide  x + 1;;
level_logger_calibration_all.csv;;valide;bulleur.3.rel.to.surface.cm;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.3.date.aaaammdd;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.3.time.tz.orig;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.3.obs;manuel;idem;;;
